"Year","totalNumFoodInsecure","totalPopulation","FI_Rate","totalNumPOV","POV","totalNumUN","UN"
2010,193418.005149603,1172859,16.5,170894.001446243,14.6,111352.172008258,9.5
2011,189803.299028821,1175225,16.2,176456.820248172,15,96339.152971446,8.2
2012,187077.731675193,1176633,15.9,183599.515723352,15.6,86921.626982461,7.4
2013,185535.839043409,1177054,15.8,183166.003518982,15.6,83724.028994831,7.1
2014,184347.944463231,1176689,15.7,185904.42678398,15.8,74789.727,6.4
2015,177348.873692654,1176226,15.1,187745.23522045,16,64252.077,5.5
2016,173882.731290326,1173485,14.8,184370.69699063,15.7,59985.901,5.1
2017,167369.31013836,1169639,14.3,179809.00078216,15.4,52012.707,4.4
2018,161789.835720129,1165770,13.9,182523.05090295,15.7,41678.698,3.6
2019,158432.175070576,1161499,13.6,177708.3578854,15.3,38689.048,3.3
2020,143273.13526839,1158924,12.4,169954.54052265,14.7,78283.96,6.8
2021,145201.504676126,1154464,12.6,166335.08006459,14.4,47099.704,4.1
2022,171263.397736706,1152784,14.9,170716.21896383,14.8,36107.136,3.1
2023,148765.016976771,1151308.1483162,12.9,170100.194282439,14.8,35177.5365020371,3.1
2024,145484.878228584,1148483.65464133,12.7,170109.530767065,14.8,34217.6386123598,3
2025,142251.161863185,1145604.944,12.4,169871.572711386,14.8,33261.983513,2.9
2026,139959.289157464,1142717.426,12.2,169304.248950035,14.8,32752.4594650098,2.9
2027,137989.0176917,1139796.343,12.1,168419.814607276,14.8,32652.186238,2.9
